episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
0,-45.9755,-0.35918,-45.9755,-45.9755,1.0689,0.00186,3.9639,0.006635,0.011461,ppo
1,-46.1001,-0.36016,-46.0378,-45.9755,1.06771,0.0014,3.98096,0.013751,0.009768,ppo
2,-45.7504,-0.35742,-45.942,-45.7504,1.06813,0.0019,3.93023,0.006841,0.012868,ppo
3,-43.7668,-0.34193,-45.3982,-43.7668,1.06824,0.00156,3.62205,0.006928,0.008275,ppo
4,-44.9537,-0.3512,-45.3093,-43.7668,1.06845,0.00147,3.80062,0.012978,0.009,ppo
5,-45.7488,-0.35741,-45.3826,-43.7668,1.06805,0.0019,3.93023,0.006811,0.012879,ppo
6,-45.3685,-0.35444,-45.3805,-43.7668,1.06875,0.00145,3.8642,0.013228,0.009231,ppo
7,-45.9056,-0.35864,-45.4462,-43.7668,1.06873,0.00189,3.95315,0.006671,0.012128,ppo
8,-45.7504,-0.35742,-45.48,-43.7668,1.06813,0.0019,3.93023,0.006841,0.012868,ppo
9,-45.8984,-0.35858,-45.5218,-43.7668,1.06658,0.00158,3.95787,0.007849,0.011424,ppo
10,-45.9189,-0.35874,-45.5579,-43.7668,1.06801,0.00179,3.95862,0.006445,0.009846,ppo
11,-45.5248,-0.35566,-45.5551,-43.7668,1.06836,0.00144,3.88966,0.013337,0.009344,ppo
12,-46.0097,-0.35945,-45.5901,-43.7668,1.0685,0.00182,3.9709,0.006553,0.010621,ppo
13,-44.7044,-0.34925,-45.5269,-43.7668,1.06871,0.0017,3.76761,0.006279,0.008404,ppo
14,-46.0549,-0.3598,-45.5621,-43.7668,1.06777,0.0014,3.97376,0.013704,0.009718,ppo
15,-46.0755,-0.35997,-45.5941,-43.7668,1.06812,0.0014,3.97594,0.013718,0.009733,ppo
16,-45.4671,-0.35521,-45.5867,-43.7668,1.06854,0.00144,3.88018,0.013296,0.009298,ppo
17,-44.111,-0.34462,-45.5047,-43.7668,1.06881,0.00153,3.6682,0.012802,0.008423,ppo
18,-43.8997,-0.34297,-45.4202,-43.7668,1.06862,0.00155,3.64161,0.006975,0.008337,ppo
19,-45.5464,-0.35583,-45.4265,-43.7668,1.06744,0.00176,3.9025,0.006359,0.009262,ppo
20,-46.011,-0.35946,-45.4283,-43.7668,1.06881,0.00183,3.97005,0.006577,0.010825,ppo
21,-46.0929,-0.3601,-45.4279,-43.7668,1.0678,0.0014,3.97958,0.013739,0.009756,ppo
22,-45.9845,-0.35925,-45.4396,-43.7668,1.06817,0.0018,3.96825,0.006485,0.010096,ppo
23,-44.3133,-0.3462,-45.467,-43.7668,1.06833,0.00152,3.70113,0.012905,0.008562,ppo
24,-45.7817,-0.35767,-45.5084,-43.7668,1.06831,0.00192,3.93474,0.0067,0.012767,ppo
25,-45.955,-0.35902,-45.5187,-43.7668,1.06854,0.00186,3.9617,0.006645,0.011631,ppo
26,-45.8253,-0.35801,-45.5415,-43.7668,1.06832,0.00191,3.94162,0.00669,0.01255,ppo
27,-45.9189,-0.35874,-45.5422,-43.7668,1.06801,0.00179,3.95862,0.006445,0.009846,ppo
28,-44.6543,-0.34886,-45.4874,-43.7668,1.06837,0.00169,3.76082,0.006273,0.008372,ppo
29,-44.0841,-0.34441,-45.3967,-43.7668,1.06863,0.00154,3.66455,0.012792,0.008413,ppo
30,-44.9428,-0.35112,-45.3479,-43.7668,1.06737,0.00172,3.80875,0.006295,0.008613,ppo
31,-46.0138,-0.35948,-45.3723,-43.7668,1.06856,0.00182,3.97137,0.006549,0.010585,ppo
32,-43.5358,-0.34012,-45.2486,-43.5358,1.06828,0.00158,3.58598,0.006787,0.008146,ppo
33,-45.8734,-0.35839,-45.3071,-43.5358,1.06738,0.00163,3.95149,0.007743,0.011747,ppo
34,-46.1874,-0.36084,-45.3137,-43.5358,1.06806,0.0014,3.9934,0.013854,0.009871,ppo
35,-45.7681,-0.35756,-45.2983,-43.5358,1.06835,0.00186,3.93225,0.006985,0.012796,ppo
36,-45.7949,-0.35777,-45.3147,-43.5358,1.06815,0.00177,3.9369,0.007335,0.012501,ppo
37,-44.7365,-0.3495,-45.346,-43.5358,1.06825,0.00149,3.76716,0.01314,0.008851,ppo
38,-45.8367,-0.3581,-45.4428,-43.5358,1.06851,0.0019,3.94288,0.006687,0.012484,ppo
39,-44.7044,-0.34925,-45.4007,-43.5358,1.06871,0.0017,3.76761,0.006279,0.008404,ppo
40,-43.8617,-0.34267,-45.2933,-43.5358,1.06773,0.00164,3.63873,0.006604,0.008076,ppo
41,-43.5358,-0.34012,-45.1654,-43.5358,1.06828,0.00158,3.58598,0.006787,0.008146,ppo
42,-44.771,-0.34977,-45.1047,-43.5358,1.06787,0.00149,3.77366,0.013165,0.008881,ppo
43,-44.134,-0.3448,-45.0958,-43.5358,1.06902,0.00153,3.67118,0.012811,0.008436,ppo
44,-46.1557,-0.36059,-45.1145,-43.5358,1.068,0.00144,3.98843,0.01386,0.010267,ppo
45,-45.7678,-0.35756,-45.1051,-43.5358,1.06812,0.00185,3.93289,0.007015,0.012775,ppo
46,-43.8252,-0.34238,-45.0051,-43.5358,1.06785,0.00163,3.63266,0.006612,0.008069,ppo
47,-45.3685,-0.35444,-44.9776,-43.5358,1.06875,0.00145,3.8642,0.013228,0.009231,ppo
48,-45.4671,-0.35521,-45.0182,-43.5358,1.06854,0.00144,3.88018,0.013296,0.009298,ppo
49,-44.2449,-0.34566,-45.0263,-43.5358,1.06722,0.00167,3.70012,0.006552,0.008164,ppo
50,-45.4241,-0.35488,-45.0503,-43.5358,1.06848,0.00144,3.87364,0.013269,0.009271,ppo
51,-44.0328,-0.34401,-44.9513,-43.5358,1.06725,0.00165,3.6669,0.006576,0.008104,ppo
52,-45.825,-0.35801,-45.0657,-43.5358,1.06718,0.00168,3.94451,0.007606,0.012045,ppo
53,-43.8983,-0.34296,-44.967,-43.5358,1.06754,0.00164,3.64503,0.006595,0.00808,ppo
54,-46.0122,-0.35947,-44.9582,-43.5358,1.06905,0.00183,3.96951,0.006581,0.010862,ppo
55,-43.6076,-0.34068,-44.8502,-43.5358,1.06861,0.00157,3.59619,0.006841,0.008186,ppo
