ue,sinr_dl_pt,sinr_dl_dt,delta_sinr_dl,sinr_ul_pt,sinr_ul_dt,delta_sinr_ul,thr_pt_mbps,thr_dt_mbps,delta_thr_pct,delay_pt_ms,delay_dt_ms,bler_pt_pct,bler_dt_pct
ue0,15.48,15.48,-0.0,29.68,25.83,3.85,1.1166,0.051,-95.4,0.16,0.158,4.02,4.02
ue1,7.37,7.37,-0.0,23.31,19.31,4.0,1.1186,0.0511,-95.4,0.009,0.001,51.33,51.32
ue2,14.1,14.1,-0.0,27.46,23.62,3.84,1.1197,0.0512,-95.4,0.072,0.069,7.8,7.8
ue3,5.32,5.32,-0.0,24.54,20.54,4.0,1.1224,0.0513,-95.4,1.781,1.772,66.45,66.44
ue4,6.34,6.34,-0.0,23.33,19.33,4.0,1.1175,0.0511,-95.4,0.768,0.759,58.89,58.88
ue5,11.95,11.95,-0.0,25.98,21.98,4.0,1.1175,0.0511,-95.4,0.038,0.034,18.57,18.56
ue6,4.54,4.55,-0.0,15.38,11.38,4.0,1.1207,0.0512,-95.4,4.258,4.237,75.59,75.56
ue7,7.38,7.38,-0.0,21.36,17.36,4.0,1.1221,0.0513,-95.4,0.111,0.103,51.16,51.15
ue8,12.92,12.92,-0.0,26.27,23.4,2.87,1.1183,0.0511,-95.4,0.51,0.504,25.76,25.75
ue9,0.01,0.01,-0.0,22.41,18.41,4.0,1.1187,0.0511,-95.4,0.439,0.427,95.19,95.19
