episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
0,-60.6789,-0.9481,-60.6789,-60.6789,0.9263,0.426,6.9158,0.7161,3.0237,ppo_live2
1,-63.4959,-0.9921,-62.0874,-60.6789,0.9881,0.4662,7.2985,0.7088,2.7653,ppo_live2
2,-52.5689,-0.8214,-58.9146,-52.5689,0.8965,0.4233,5.9715,0.4376,2.3363,ppo_live2
3,-62.1089,-0.9705,-59.7131,-52.5689,0.9376,0.472,7.2614,0.5291,2.6807,ppo_live2
4,-59.2396,-0.9256,-59.6184,-52.5689,0.9253,0.4465,6.5574,1.0362,2.848,ppo_live2
5,-58.9673,-0.9214,-59.5099,-52.5689,0.8782,0.431,6.8723,0.6315,2.464,ppo_live2
6,-57.9328,-0.9052,-59.2846,-52.5689,0.9716,0.4166,6.5332,0.7798,2.316,ppo_live2
7,-61.1623,-0.9557,-59.5193,-52.5689,0.9534,0.4916,6.9656,0.8227,2.5189,ppo_live2
8,-57.4211,-0.8972,-59.2862,-52.5689,0.9464,0.4434,6.5731,0.6153,2.2502,ppo_live2
9,-52.2999,-0.8172,-58.5876,-52.2999,0.8939,0.4162,5.8197,0.652,2.3864,ppo_live2
10,-60.4248,-0.9441,-58.7546,-52.2999,0.9076,0.4519,6.7802,0.9973,2.8757,ppo_live2
11,-58.4521,-0.9133,-58.7294,-52.2999,0.9367,0.3986,6.5792,0.9169,2.4555,ppo_live2
12,-63.777,-0.9965,-59.1177,-52.2999,0.945,0.4009,7.6363,0.4946,2.3182,ppo_live2
13,-49.0133,-0.7658,-58.3959,-49.0133,0.9421,0.4004,5.423,0.3143,2.3245,ppo_live2
14,-56.2666,-0.8792,-58.254,-49.0133,0.9052,0.415,6.5714,0.2693,2.601,ppo_live2
15,-55.4596,-0.8666,-58.0793,-49.0133,0.9728,0.4206,6.1989,0.507,2.7178,ppo_live2
16,-58.1683,-0.9089,-58.0845,-49.0133,0.8349,0.4351,6.8999,0.3595,2.6958,ppo_live2
17,-62.9357,-0.9834,-58.3541,-49.0133,0.9952,0.4083,7.5382,0.2165,2.4517,ppo_live2
18,-52.2196,-0.8159,-58.0312,-49.0133,0.9495,0.4321,5.9119,0.239,2.4383,ppo_live2
19,-54.1967,-0.8468,-57.8395,-49.0133,0.8906,0.4306,6.2847,0.3153,2.3738,ppo_live2
20,-59.3999,-0.9281,-57.7755,-49.0133,0.9628,0.4578,6.8157,0.3968,2.9703,ppo_live2
21,-56.5717,-0.8839,-57.4293,-49.0133,0.932,0.443,6.441,0.3755,2.9553,ppo_live2
22,-57.2578,-0.8947,-57.6638,-49.0133,0.9339,0.4321,6.5998,0.4588,2.5025,ppo_live2
23,-56.311,-0.8799,-57.3739,-49.0133,0.868,0.5027,6.0793,1.111,3.0518,ppo_live2
24,-61.8035,-0.9657,-57.5021,-49.0133,0.9332,0.4398,7.1804,0.6736,2.5995,ppo_live2
25,-65.3511,-1.0211,-57.8212,-49.0133,1.0091,0.3826,7.6538,0.7902,2.2863,ppo_live2
26,-45.3711,-0.7089,-57.1932,-45.3711,0.8848,0.411,4.7634,0.6462,2.3503,ppo_live2
27,-41.651,-0.6508,-56.2176,-41.651,0.965,0.4082,4.0865,0.6161,2.3087,ppo_live2
28,-54.9658,-0.8588,-56.0948,-41.651,0.8686,0.4014,6.3151,0.773,1.9164,ppo_live2
29,-56.029,-0.8755,-56.2813,-41.651,0.9042,0.381,6.3869,0.8917,1.875,ppo_live2
30,-47.6704,-0.7449,-55.6436,-41.651,0.9033,0.4143,4.9889,1.0639,1.8276,ppo_live2
31,-51.8329,-0.8099,-55.3126,-41.651,0.9117,0.3944,5.7888,0.8181,1.6813,ppo_live2
32,-53.5435,-0.8366,-54.8009,-41.651,0.9839,0.3727,5.9545,0.7102,1.9721,ppo_live2
33,-50.9491,-0.7961,-54.8977,-41.651,0.8709,0.3827,5.7558,0.5365,2.1951,ppo_live2
34,-56.1022,-0.8766,-54.8895,-41.651,0.8568,0.4155,6.5322,0.5237,2.3946,ppo_live2
35,-53.8884,-0.842,-54.8109,-41.651,0.9964,0.4225,5.878,0.779,2.2333,ppo_live2
36,-60.6707,-0.948,-54.9361,-41.651,0.9173,0.4196,7.0642,0.7252,2.3362,ppo_live2
37,-53.4077,-0.8345,-54.4597,-41.651,0.9116,0.4123,5.8778,0.6732,2.785,ppo_live2
38,-51.7896,-0.8092,-54.4382,-41.651,0.9508,0.4653,5.4569,0.566,3.4672,ppo_live2
39,-50.0926,-0.7827,-54.233,-41.651,0.8137,0.3835,5.6373,0.5075,2.6181,ppo_live2
40,-52.7427,-0.8241,-53.9001,-41.651,0.9298,0.503,5.6918,0.6968,2.7732,ppo_live2
41,-55.365,-0.8651,-53.8398,-41.651,0.9529,0.3889,6.4119,0.4097,2.0516,ppo_live2
42,-54.492,-0.8514,-53.7015,-41.651,0.9015,0.4231,6.2299,0.4478,2.4835,ppo_live2
43,-58.8134,-0.919,-53.8266,-41.651,0.9427,0.4454,6.6325,0.7103,2.8265,ppo_live2
44,-54.7186,-0.855,-53.4723,-41.651,0.8848,0.4667,5.9886,0.7916,3.024,ppo_live2
45,-53.2433,-0.8319,-52.8669,-41.651,0.8867,0.4139,5.8759,0.8177,2.488,ppo_live2
46,-47.1173,-0.7362,-52.9543,-41.651,0.8843,0.4609,4.944,0.61,2.7813,ppo_live2
47,-50.4137,-0.7877,-53.3924,-41.651,0.9614,0.4522,5.3947,0.4803,2.87,ppo_live2
48,-53.9544,-0.843,-53.3418,-41.651,0.9758,0.4275,5.8792,0.6223,2.8131,ppo_live2
49,-52.9082,-0.8267,-53.1858,-41.651,0.8764,0.4249,5.8157,0.8116,2.5919,ppo_live2
50,-48.5609,-0.7588,-53.2303,-41.651,0.9091,0.4304,5.1505,0.7523,2.411,ppo_live2
51,-50.1073,-0.7829,-53.144,-41.651,0.925,0.4054,5.4865,0.6864,2.0467,ppo_live2
52,-51.1121,-0.7986,-53.0225,-41.651,0.8254,0.4052,5.5152,1.2015,2.1485,ppo_live2
53,-56.2873,-0.8795,-53.2894,-41.651,0.8549,0.3974,6.5716,0.7393,1.8631,ppo_live2
54,-52.1606,-0.815,-53.0923,-41.651,0.9309,0.3947,5.8292,0.673,1.9537,ppo_live2
55,-53.4868,-0.8357,-53.0722,-41.651,0.9492,0.3848,6.1162,0.4052,2.1115,ppo_live2
56,-50.0741,-0.7824,-52.5424,-41.651,0.934,0.4652,5.4249,0.4187,2.7807,ppo_live2
57,-52.0528,-0.8133,-52.4746,-41.651,0.9246,0.4157,5.9227,0.269,2.4069,ppo_live2
58,-43.8413,-0.685,-52.0772,-41.651,0.9555,0.4293,4.4138,0.4224,2.8864,ppo_live2
59,-53.0052,-0.8282,-52.2228,-41.651,0.9326,0.4182,5.7804,0.5705,3.0418,ppo_live2
60,-51.9878,-0.8123,-52.1851,-41.651,0.8839,0.4579,5.5891,0.6113,3.3676,ppo_live2
61,-54.4355,-0.8506,-52.1386,-41.651,0.8918,0.4716,5.8881,0.7946,3.233,ppo_live2
62,-51.0777,-0.7981,-51.9679,-41.651,0.868,0.4169,5.1757,1.4745,2.787,ppo_live2
63,-46.6605,-0.7291,-51.3603,-41.651,0.9418,0.3452,4.6897,1.032,2.4989,ppo_live2
64,-52.2031,-0.8157,-51.2345,-41.651,0.9187,0.5379,5.2911,1.0135,3.5599,ppo_live2
65,-55.6691,-0.8698,-51.3558,-41.651,0.9788,0.438,6.0131,0.9319,2.6601,ppo_live2
66,-52.5297,-0.8208,-51.6264,-41.651,0.9104,0.4381,5.7109,0.6833,2.8527,ppo_live2
67,-50.8265,-0.7942,-51.6471,-41.651,0.941,0.4534,5.4646,0.5402,2.8432,ppo_live2
68,-50.6338,-0.7912,-51.481,-41.651,0.9533,0.443,5.3675,0.5833,3.0043,ppo_live2
69,-52.7042,-0.8235,-51.4708,-41.651,0.9553,0.4131,5.7523,0.5761,2.7757,ppo_live2
70,-53.2534,-0.8321,-51.7054,-41.651,0.9795,0.4047,5.7494,0.6574,2.8558,ppo_live2
71,-50.4264,-0.7879,-51.7214,-41.651,0.9313,0.3979,5.5149,0.4012,2.8384,ppo_live2
72,-47.3773,-0.7403,-51.5347,-41.651,0.9037,0.3886,5.1844,0.3435,2.4837,ppo_live2
73,-46.8053,-0.7313,-51.0606,-41.651,0.974,0.4073,4.8909,0.5028,2.5318,ppo_live2
74,-45.2632,-0.7072,-50.7157,-41.651,0.9619,0.4597,4.5443,0.5092,3.0038,ppo_live2
75,-43.5237,-0.6801,-50.2175,-41.651,0.9298,0.4025,4.6007,0.2903,2.2934,ppo_live2
76,-47.5233,-0.7426,-50.09,-41.651,0.9134,0.3706,5.2637,0.32,2.2325,ppo_live2
77,-43.028,-0.6723,-49.6387,-41.651,0.9106,0.3996,4.5061,0.3252,2.4438,ppo_live2
78,-50.6164,-0.7909,-49.9775,-41.651,0.8815,0.3869,5.7444,0.269,2.5713,ppo_live2
79,-59.0527,-0.9227,-50.2799,-41.651,0.9145,0.4442,6.7699,0.5915,2.8372,ppo_live2
80,-50.6079,-0.7907,-50.2109,-41.651,0.9448,0.4664,5.4457,0.4329,2.9744,ppo_live2
81,-47.625,-0.7441,-49.8704,-41.651,0.9261,0.5365,4.7669,0.5779,3.6414,ppo_live2
82,-47.4894,-0.742,-49.6909,-41.651,0.9492,0.4404,4.8518,0.6729,2.9399,ppo_live2
83,-43.0616,-0.6728,-49.511,-41.651,0.8689,0.4884,4.1529,0.9183,2.8438,ppo_live2
84,-51.0191,-0.7972,-49.4518,-41.651,0.946,0.5037,5.4194,0.7986,2.4111,ppo_live2
85,-39.0272,-0.6098,-48.6197,-39.0272,0.9643,0.5048,3.5662,0.7494,2.2917,ppo_live2
86,-41.3775,-0.6465,-48.0621,-39.0272,0.9593,0.448,4.139,0.481,2.114,ppo_live2
87,-48.472,-0.7574,-47.9444,-39.0272,0.8831,0.4177,5.3096,0.558,2.2589,ppo_live2
88,-48.9077,-0.7642,-47.8581,-39.0272,0.8898,0.3742,5.3586,0.5858,2.3424,ppo_live2
89,-44.772,-0.6996,-47.4614,-39.0272,0.9646,0.4394,4.5757,0.4719,2.587,ppo_live2
90,-49.4591,-0.7728,-47.2717,-39.0272,0.9438,0.3968,5.4387,0.4176,2.3322,ppo_live2
91,-48.1447,-0.7523,-47.1577,-39.0272,0.9349,0.388,5.2847,0.3558,2.3185,ppo_live2
92,-45.4221,-0.7097,-47.0599,-39.0272,0.908,0.3712,4.9306,0.3445,2.2332,ppo_live2
93,-43.4547,-0.679,-46.8924,-39.0272,0.9389,0.3951,4.5546,0.4039,2.1366,ppo_live2
94,-43.1527,-0.6743,-46.7868,-39.0272,0.8944,0.4495,4.3907,0.446,2.8125,ppo_live2
95,-46.6002,-0.7281,-46.9407,-39.0272,0.9525,0.4468,4.6523,0.7477,3.0146,ppo_live2
96,-41.7454,-0.6523,-46.6518,-39.0272,0.8645,0.4531,4.0486,0.5166,3.4626,ppo_live2
97,-46.2027,-0.7219,-46.8105,-39.0272,0.8892,0.4384,4.88,0.3044,3.1698,ppo_live2
98,-43.6488,-0.682,-46.4621,-39.0272,0.9239,0.4174,4.4522,0.3255,3.0533,ppo_live2
99,-41.8577,-0.654,-45.6024,-39.0272,0.8926,0.467,3.8995,0.8184,3.2959,ppo_live2
100,-41.6971,-0.6515,-45.1568,-39.0272,0.8385,0.4798,3.9515,0.8614,3.1766,ppo_live2
101,-45.4335,-0.7099,-45.0473,-39.0272,0.9136,0.5562,4.2077,1.1115,3.4356,ppo_live2
102,-47.6909,-0.7452,-45.0573,-39.0272,0.9714,0.4373,4.839,0.8646,2.5232,ppo_live2
103,-50.6104,-0.7908,-45.4348,-39.0272,0.8455,0.4275,5.5793,0.7564,2.342,ppo_live2
104,-41.3369,-0.6459,-44.9507,-39.0272,0.9352,0.4234,3.903,1.058,2.0622,ppo_live2
105,-51.0183,-0.7972,-45.5502,-39.0272,0.8872,0.4065,5.455,1.1112,2.1345,ppo_live2
106,-51.2885,-0.8014,-46.0458,-39.0272,0.8945,0.417,5.4012,1.2613,2.1591,ppo_live2
107,-39.1954,-0.6124,-45.5819,-39.0272,0.8706,0.4162,3.7023,0.9617,2.1363,ppo_live2
108,-45.5297,-0.7114,-45.413,-39.0272,0.8959,0.4347,4.7158,0.8154,2.1461,ppo_live2
109,-47.4893,-0.742,-45.5489,-39.0272,0.913,0.4006,5.1163,0.6476,2.0516,ppo_live2
110,-47.0423,-0.735,-45.4281,-39.0272,1.0035,0.386,4.8122,0.8495,2.0758,ppo_live2
111,-50.4438,-0.7882,-45.543,-39.0272,0.9369,0.4203,5.4898,0.6718,2.2036,ppo_live2
112,-42.6829,-0.6669,-45.4061,-39.0272,0.898,0.4465,4.3283,0.543,2.4961,ppo_live2
113,-46.7862,-0.731,-45.5726,-39.0272,0.9615,0.523,4.763,0.4712,3.04,ppo_live2
114,-43.3371,-0.6771,-45.5819,-39.0272,0.9362,0.42,4.508,0.3776,2.3013,ppo_live2
115,-43.9175,-0.6862,-45.4477,-39.0272,0.9459,0.4834,4.45,0.4955,2.5194,ppo_live2
116,-40.6554,-0.6352,-45.3932,-39.0272,0.9588,0.4233,3.8725,0.5758,2.7113,ppo_live2
117,-48.9892,-0.7655,-45.5325,-39.0272,0.9595,0.4793,5.0523,0.5456,3.2527,ppo_live2
118,-39.3889,-0.6155,-45.3195,-39.0272,0.922,0.4852,3.6193,0.5808,3.096,ppo_live2
119,-43.2401,-0.6756,-45.3887,-39.0272,0.9232,0.5602,3.9449,0.8594,3.584,ppo_live2
120,-40.8043,-0.6376,-45.344,-39.0272,0.9053,0.5603,3.6098,0.9284,3.3175,ppo_live2
121,-41.7562,-0.6524,-45.1602,-39.0272,0.9265,0.4554,3.9338,0.8392,2.7677,ppo_live2
122,-47.5889,-0.7436,-45.1551,-39.0272,0.9907,0.4788,4.6243,0.9722,2.9997,ppo_live2
123,-42.0416,-0.6569,-44.7266,-39.0272,0.8965,0.4975,3.9418,0.7679,3.2485,ppo_live2
124,-43.085,-0.6732,-44.814,-39.0272,0.8932,0.4411,4.2043,0.7831,2.8788,ppo_live2
125,-45.0337,-0.7037,-44.5148,-39.0272,0.9589,0.4385,4.3925,0.9047,2.6705,ppo_live2
126,-45.6007,-0.7125,-44.2304,-39.0272,0.8946,0.47,4.5181,1.0439,2.5404,ppo_live2
127,-41.0221,-0.641,-44.3218,-39.0272,0.8829,0.4222,3.9922,0.9089,2.1378,ppo_live2
128,-40.2109,-0.6283,-44.0558,-39.0272,0.9974,0.4793,3.4403,1.0573,2.8916,ppo_live2
129,-42.8408,-0.6694,-43.8234,-39.0272,0.9814,0.4312,4.0064,0.9824,2.5428,ppo_live2
