episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
0,-33.9147,-0.5299,-33.9147,-33.9147,0.9136,0.4523,5.8,0.4199,2.9633,ppo_live
1,-37.4564,-0.5853,-35.6856,-33.9147,0.928,0.4638,6.4419,0.7099,3.2641,ppo_live
2,-40.4187,-0.6315,-37.2633,-33.9147,0.9511,0.4665,7.1234,1.0199,2.919,ppo_live
3,-37.8176,-0.5909,-37.4018,-33.9147,0.8974,0.4171,7.1311,0.5916,2.4648,ppo_live
4,-36.5996,-0.5719,-37.2414,-33.9147,0.9201,0.4311,6.5094,0.7775,2.3976,ppo_live
5,-35.9875,-0.5623,-37.0324,-33.9147,0.9245,0.4785,6.331,0.5665,2.7411,ppo_live
6,-38.5198,-0.6019,-37.2449,-33.9147,0.9828,0.3879,7.18,0.6221,2.2477,ppo_live
7,-36.9847,-0.5779,-37.2124,-33.9147,0.9188,0.4137,6.8974,0.5892,2.2524,ppo_live
8,-35.1538,-0.5493,-36.9836,-33.9147,0.9092,0.3994,6.1074,0.8596,2.2287,ppo_live
9,-36.3777,-0.5684,-36.923,-33.9147,0.9083,0.3846,6.3825,0.9688,2.268,ppo_live
10,-37.0459,-0.5788,-36.9342,-33.9147,0.9295,0.405,7.3422,0.3703,1.6774,ppo_live
11,-30.1365,-0.4709,-36.3677,-30.1365,0.9223,0.3976,4.9401,0.5157,1.9931,ppo_live
12,-33.3762,-0.5215,-36.1376,-30.1365,0.9409,0.4148,6.1098,0.2407,2.1054,ppo_live
13,-34.2983,-0.5359,-36.0062,-30.1365,0.8707,0.4754,5.7138,0.5992,3.294,ppo_live
14,-38.5074,-0.6017,-36.173,-30.1365,0.9626,0.4277,7.0311,0.4704,3.0413,ppo_live
15,-32.5453,-0.5085,-35.9463,-30.1365,0.8611,0.4744,5.3905,0.396,3.3159,ppo_live
16,-33.5099,-0.5236,-35.8029,-30.1365,0.9325,0.4196,5.3028,0.9909,2.4029,ppo_live
17,-29.4128,-0.4596,-35.4479,-29.4128,0.7886,0.5004,4.4198,0.7226,2.9575,ppo_live
18,-30.8804,-0.4825,-35.2075,-29.4128,0.9363,0.4529,4.3085,0.8753,3.0114,ppo_live
19,-34.9469,-0.546,-35.1945,-29.4128,0.9052,0.5041,5.4596,0.9406,3.2524,ppo_live
20,-32.2372,-0.5037,-35.1106,-29.4128,0.9105,0.4468,4.8198,0.9265,2.8738,ppo_live
21,-29.872,-0.4667,-34.7314,-29.4128,0.8833,0.3865,4.4885,0.7637,2.6156,ppo_live
22,-35.2233,-0.5504,-34.4716,-29.4128,0.9606,0.4444,5.4574,1.0833,2.8511,ppo_live
23,-36.5396,-0.5709,-34.4077,-29.4128,0.8641,0.442,6.1755,1.167,2.6046,ppo_live
24,-34.6383,-0.5412,-34.3097,-29.4128,0.9074,0.4114,5.8265,0.7589,2.7641,ppo_live
25,-34.7944,-0.5437,-34.25,-29.4128,0.9073,0.4413,5.7901,0.7208,2.9985,ppo_live
26,-31.4463,-0.4913,-33.8964,-29.4128,0.9405,0.4043,4.9664,0.5383,2.7409,ppo_live
27,-34.989,-0.5467,-33.7966,-29.4128,0.9185,0.4189,5.7234,0.9514,2.7125,ppo_live
28,-30.8019,-0.4813,-33.579,-29.4128,0.9198,0.4064,5.11,0.5448,2.0129,ppo_live
29,-30.0748,-0.4699,-33.2638,-29.4128,0.9524,0.3943,4.7684,0.3748,2.509,ppo_live
30,-31.7438,-0.496,-32.9987,-29.4128,0.88,0.4484,5.2858,0.3426,3.0078,ppo_live
31,-30.1394,-0.4709,-32.9989,-29.4128,0.9124,0.4654,4.5114,0.5651,2.8484,ppo_live
32,-30.9878,-0.4842,-32.8794,-29.4128,0.9486,0.4171,5.0789,0.374,2.4195,ppo_live
33,-29.8776,-0.4668,-32.6584,-29.4128,0.9192,0.4499,4.5364,0.5837,2.523,ppo_live
34,-34.8185,-0.544,-32.474,-29.4128,0.908,0.4171,5.9101,0.9427,2.2173,ppo_live
35,-31.0655,-0.4854,-32.4,-29.4128,0.9036,0.474,4.8588,0.675,2.4736,ppo_live
36,-33.0204,-0.5159,-32.3755,-29.4128,0.9236,0.4496,5.7308,0.6167,1.8777,ppo_live
37,-32.1005,-0.5016,-32.5099,-29.4128,0.9146,0.4132,5.7001,0.4475,1.8167,ppo_live
38,-32.7283,-0.5114,-32.6023,-29.4128,0.9353,0.4972,5.3398,0.5439,2.6021,ppo_live
39,-29.7301,-0.4645,-32.3414,-29.4128,0.9013,0.4234,4.7598,0.5221,2.2041,ppo_live
40,-34.0884,-0.5326,-32.434,-29.4128,0.9287,0.456,5.3632,0.9693,2.6947,ppo_live
41,-29.2832,-0.4576,-32.4046,-29.2832,0.9243,0.3941,4.4682,0.656,2.149,ppo_live
42,-31.6394,-0.4944,-32.2254,-29.2832,0.8809,0.3849,5.1619,0.7483,2.3738,ppo_live
43,-31.7019,-0.4953,-31.9835,-29.2832,0.8463,0.4117,5.1128,0.6244,3.0476,ppo_live
44,-30.4514,-0.4758,-31.7741,-29.2832,0.9292,0.3942,4.9878,0.4928,2.1343,ppo_live
45,-27.099,-0.4234,-31.3894,-27.099,0.9037,0.4054,3.9818,0.3971,2.4325,ppo_live
46,-31.5203,-0.4925,-31.3931,-27.099,0.9253,0.419,4.8745,0.5881,2.9817,ppo_live
47,-33.9135,-0.5299,-31.3393,-27.099,0.9678,0.4128,5.1856,0.8726,3.0586,ppo_live
48,-35.9513,-0.5617,-31.5968,-27.099,0.9243,0.4512,5.361,1.4185,3.078,ppo_live
49,-33.6228,-0.5254,-31.7742,-27.099,0.8814,0.4549,5.3065,0.8386,3.1569,ppo_live
50,-34.7501,-0.543,-31.9245,-27.099,0.893,0.5028,5.4191,0.9484,3.2755,ppo_live
51,-31.1992,-0.4875,-31.9775,-27.099,0.9253,0.5059,4.3123,0.8727,3.2073,ppo_live
52,-28.531,-0.4458,-31.8546,-27.099,0.9426,0.4046,4.4191,0.3883,2.1905,ppo_live
53,-31.7106,-0.4955,-31.9463,-27.099,0.9846,0.3879,5.3717,0.3527,2.1084,ppo_live
54,-27.7535,-0.4336,-31.593,-27.099,0.9055,0.3882,4.148,0.5489,2.1786,ppo_live
55,-29.1067,-0.4548,-31.4951,-27.099,0.843,0.3959,4.4861,0.6538,2.5778,ppo_live
56,-33.1181,-0.5175,-31.5,-27.099,0.982,0.3913,5.6251,0.436,2.3774,ppo_live
57,-28.6853,-0.4482,-31.3292,-27.099,0.9377,0.4083,4.3351,0.5102,2.2437,ppo_live
